reckless,5047331984,142833570,1,2,6,2,0.76,478,165,2,0,0,0,1,0,8.675976,12.65,0
}-{ie$ENbeRG,5047331984,96109247,4,2,4,4,0.92,294,8,0,0,2,2,2,0,32.716797,13.17,0
jherky,5047331984,105025705,3,2,6,5,0.88,299,44,0,0,7,0,5,0,9.279785,12.53,0
Soranos,5047331984,108895062,2,2,5,0,0.6,600,142,1,0,0,0,4,0,20.98199,12.7,0
Bambino,5047331984,60089038,1,2,0,3,0.16666667,447,241,1,0,0,1,0,0,0,6.5,0
Cerys,5047331984,83833103,3,2,1,6,0.8333333,233,36,1,0,7,0,3,0,42.13916,13.45,0
ChowMains,5047331984,101960024,2,2,5,6,0.8333333,438,177,0,0,0,0,4,1,0,14.17,0
Khillasaurus,5047331984,68959447,0,2,2,3,0.25,452,172,0,0,0,0,9,0,23.126955,13.24,3.43
fInesse,5047331984,169151968,4,2,4,7,0.9166667,260,48,0,0,7,2,2,0,59.52141,15.76,0
Burrahobbit,5047368996,75632156,0,2,5,3,0.5,670,465,3,1,1,3,4,0,43.32495,19.23,0
reckless,5047368996,142833570,1,2,17,3,0.78571427,637,320,1,0,0,1,5,0,14.783939,17.67,0
Soranos,5047368996,108895062,2,2,3,3,0.39285713,374,196,3,0,0,4,2,0,55.91626,16.44,0
jherky,5047368996,105025705,3,2,2,6,0.4642857,260,85,0,0,12,2,7,0,9.665527,11.67,0
}-{ie$ENbeRG,5047368996,96109247,4,2,1,3,0.35714287,274,45,0,0,4,0,7,0,16.91211,9.14,0
Bambino,5047368996,60089038,1,2,3,3,0.6666667,602,353,2,0,1,0,15,0,38.970364,17.92,0
Cerys,5047368996,83833103,3,2,0,9,0.3888889,287,38,0,0,13,1,2,0,21.692554,9.51,0
ChowMains,5047368996,101960024,2,2,8,0,0.5555556,745,557,3,0,0,3,6,0,15.75571,18.52,0
fInesse,5047368996,169151968,4,2,4,11,0.6666667,329,149,0,0,6,0,3,1,36.96338,15.71,0
Khillasaurus,5047368996,68959447,0,2,3,5,0.6666667,465,273,0,0,1,1,7,0,11.617334,15.6,4.04
itachi,5047335894,466360314,1,2,11,5,0.61290324,608,335,3,0,0,0,8,0,25.810232,17.77,0
inkogn!to,5047335894,273226888,2,2,7,2,0.61290324,474,234,3,0,0,0,3,0,27.85144,15.35,0
<Phoenix>,5047335894,86152976,3,2,4,3,0.5483871,615,348,2,0,0,0,5,1,33.4116,18.52,0
grosia,5047335894,143785619,4,2,6,6,0.61290324,302,60,1,0,14,0,0,0,39.275024,14.49,0
MAPPO,5047335894,123919855,0,2,3,6,0.7096774,264,72,0,0,2,1,8,0,54.75188,18.59,4.29
spidez,5047335894,298148498,0,2,2,4,0.54545456,406,248,0,0,1,0,11,0,12.113037,12.26,1.11
Huntington,5047335894,145629222,1,2,5,9,0.77272725,448,266,0,0,0,0,8,0,47.359165,14.26,0
Poxie,5047335894,82571190,4,2,3,9,0.59090906,242,27,0,0,13,2,4,0,0,10.67,0
Forest Bear,5047335894,90824784,2,2,8,6,0.77272725,355,87,0,0,3,0,3,0,10.03418,11.44,0
[RD] Chief-Sage Coco,5047335894,137718020,3,2,3,7,0.3181818,484,363,1,0,0,2,0,0,0,8.5,0
spidez,5047383607,298148498,0,2,4,3,0.6571429,427,172,1,1,0,0,5,0,99.372925,21.02,1.91
Forest Bear,5047383607,90824784,2,2,5,6,0.74285716,385,64,2,0,7,0,10,0,138.60437,24.57,0
Poxie,5047383607,82571190,4,2,2,9,0.51428574,300,57,0,0,12,2,5,0,0,10.24,0
Huntington,5047383607,145629222,1,2,10,8,0.82857144,472,194,1,0,0,0,7,0,78.48854,19.11,0
[RD] Chief-Sage Coco,5047383607,137718020,3,2,14,3,0.6857143,734,434,6,1,0,0,3,1,7.9072266,25.29,0
itachi,5047383607,466360314,1,2,8,9,0.65384614,493,343,3,0,0,1,9,0,23.824316,16.87,0
inkogn!to,5047383607,273226888,2,2,5,4,0.8076923,328,148,0,0,2,2,6,0,76.119415,17.65,0
<Phoenix>,5047383607,86152976,3,2,0,5,0.5,361,233,1,0,0,0,3,0,9.951831,8.67,0
grosia,5047383607,143785619,4,2,6,11,0.65384614,208,27,0,0,18,0,3,0,38.774536,14.17,0
MAPPO,5047383607,123919855,0,2,7,6,0.53846157,411,255,0,0,0,0,5,0,53.813896,17.89,4.13
JonSquid,5047328003,81625477,0,2,6,10,0.7096774,519,423,1,0,0,2,3,0,0.43440133,11.94,0
madrugada,5047328003,87042598,1,2,5,6,0.5483871,267,102,1,0,1,0,11,0,88.97391,17.8,0
Walrus,5047328003,201718160,2,2,10,5,0.7741935,518,405,2,1,0,0,3,0,24.34171,16.95,0
Bjorn,5047328003,201058787,1,2,3,8,0.64705884,429,293,1,0,0,1,15,0,73.16607,18.41,0
Healthy Snacks,5047328003,14099232,3,2,2,6,0.6764706,353,230,0,0,0,0,12,0,64.22684,15.3,0
Clueless,5047328003,73946724,0,2,15,4,0.7647059,601,431,2,0,1,3,12,1,0,20.33,-3.59
cARN-,5047328003,173067337,2,2,12,3,0.7352941,713,560,7,2,0,0,5,0,24.188574,25,0
Flagon,5047328003,17462153,4,2,2,10,0.5,249,49,0,0,27,3,7,0,0,13.89,0
